partitionid,dataspaceid,repositoryid,alertid,title,alertkey,severity,component_type,sources
4,11,27,57454,CVE-2020-8286,v6:63d4095717f74b98998b548f93725f5f,1,13,"{""Debian"":{""Url"":""https://security-tracker.debian.org/tracker/CVE-2020-8286""}}"
4,11,27,57451,CVE-2020-8231,v6:a561aee21cbf4254b69629fb6e16bacf,1,13,"{""Debian"":{""Url"":""https://security-tracker.debian.org/tracker/CVE-2020-8231""}}"
4,11,27,57450,CVE-2020-8177,v6:597082ef1bda4568a50c5e19d0e8dabc,1,13,"{""Debian"":{""Url"":""https://security-tracker.debian.org/tracker/CVE-2020-8177""}}"
4,11,27,57453,CVE-2020-8285,v6:d3557b148c094dd5b2cdfbaa416ff98e,1,13,"{""Debian"":{""Url"":""https://security-tracker.debian.org/tracker/CVE-2020-8285""}}"
4,11,27,57452,CVE-2020-8284,v6:a44f121f399a45cfb6afab852cb4274a,1,13,"{""Debian"":{""Url"":""https://security-tracker.debian.org/tracker/CVE-2020-8284""}}"
4,11,36,56399,CVE-2020-7788,v6:574e1403b24d49929296661172bdbc12,2,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7788""}}"
4,11,199,3550,CVE-2016-10707,v2:1736a74f-d721-4262-98e7-2d5dabc2c6bb,1,1,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2016-10707""}}"
4,11,221,59758,CVE-2021-3520,v6:76abd0e41815419fb4915c3dcda5b8c7,1,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-3520""}}"
4,11,221,20492,CVE-2016-3189,v6:d5621b87056845cca6967e32782b221f,1,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2016-3189""}}"
4,11,255,48002,CVE-2020-15215,v6:a7ba9fe7db1e4d41946ee7efa9e3774e,0,2,"{""GitHubAdvisories"":{""Url"":""https://github.com/electron/electron/security/advisories/GHSA-56pc-6jqp-xqj8""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2020-15215""}}"
4,11,255,84895,CVE-2022-26183,v6:d84e9442df594d629d08f691290c1bea,2,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2022-26183""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2022-26183""}}"
4,11,255,84151,CVE-2022-26183,v6:10b747df78694a9d828e7fa47248570d,2,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2022-26183""}}"
4,11,269,81022,CVE-2022-23594,v6:46d24b1bebd04eacb7d872e318ddc339,2,8,"{""GitHubAdvisories"":{""Url"":""https://github.com/tensorflow/tensorflow/security/advisories/GHSA-9x52-887g-fhc2""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2022-23594""}}"
4,11,269,81026,CVE-2022-23592,v6:89bf859a34814e83bf0ce694904faf8b,1,8,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2022-23592""}}"
4,11,269,82267,CVE-2022-23560,v6:fad8054a85c0427d90df6ddf16748a46,2,8,"{""GitHubAdvisories"":{""Url"":""https://github.com/tensorflow/tensorflow/security/advisories/GHSA-4hvf-hxvg-f67v""}}"
