partitionid,dataspaceid,repositoryid,alertid,title,alertkey,severity,component_type,sources
7,1791,1283,6679082,CST-E has determined that this component is not generally safe to use.,v6:c25e99907f434f4c8b3ab12c907382b8,2,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fmicrosoft.esrpclient%2Freview-1.md""}}"
7,1791,1283,6679084,CST-E has determined that this component is not generally safe to use.,v6:1130d47335f249e28a7dfb0ff3d91e89,2,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fmicrosoft.esrpclient%2Freview-1.md""}}"
7,1791,1450,7180462,CVE-2022-29172,v6:afd4471eb17f4d01b22e8bf9fbf5bd18,1,2,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2022-29172""}}"
7,1791,89538,6460383,CVE-2018-11782,v6:88cfd2fc9baa442484d09c1a781bce64,1,13,"{""Debian"":{""Url"":""https://security-tracker.debian.org/tracker/CVE-2018-11782""}}"
7,1791,89538,6460382,CVE-2019-0203,v6:815b481e0a7e4472a654a0e1d4612657,1,13,"{""Debian"":{""Url"":""https://security-tracker.debian.org/tracker/CVE-2019-0203""}}"
7,1791,89538,6460391,CVE-2021-22918,v6:e6c8ee72fb0f40a8ae91888ff5e73cd9,1,13,"{""Debian"":{""Url"":""https://security-tracker.debian.org/tracker/CVE-2021-22918""}}"
7,1791,89538,6460394,CVE-2019-1350,v6:62f3413a75be4100b5c450dca20245f5,1,13,"{""Debian"":{""Url"":""https://security-tracker.debian.org/tracker/CVE-2019-1350""}}"
7,1791,89538,6460392,CVE-2019-1387,v6:52b6afc904ae43268a1800a6a9547941,1,13,"{""Debian"":{""Url"":""https://security-tracker.debian.org/tracker/CVE-2019-1387""}}"
7,1791,89538,6460399,CVE-2019-19604,v6:ac1754f1090346be93d57dc9ca80075c,1,13,"{""Debian"":{""Url"":""https://security-tracker.debian.org/tracker/CVE-2019-19604""}}"
7,1791,89538,6460401,CVE-2019-1348,v6:c1c3f0179cf14232ad8a0f16bbb9732d,1,13,"{""Debian"":{""Url"":""https://security-tracker.debian.org/tracker/CVE-2019-1348""}}"
7,1791,89538,6460396,CVE-2019-1354,v6:86cc9abe8b5c459e9c50961ef6bf0a40,1,13,"{""Debian"":{""Url"":""https://security-tracker.debian.org/tracker/CVE-2019-1354""}}"
7,1791,89538,6460397,CVE-2019-1353,v6:9554bf5f88bc46f8a2eb67904a8e5391,1,13,"{""Debian"":{""Url"":""https://security-tracker.debian.org/tracker/CVE-2019-1353""}}"
7,1791,89538,6460400,CVE-2019-1352,v6:b09eef590b49484e9c128bf0542a302f,1,13,"{""Debian"":{""Url"":""https://security-tracker.debian.org/tracker/CVE-2019-1352""}}"
7,1791,89538,6460402,CVE-2019-1351,v6:e68683a6d5d7454984c65669cb944dab,1,13,"{""Debian"":{""Url"":""https://security-tracker.debian.org/tracker/CVE-2019-1351""}}"
7,1791,89538,6460393,CVE-2019-1349,v6:54e8f7895c6948f8a06d58f2c6950925,1,13,"{""Debian"":{""Url"":""https://security-tracker.debian.org/tracker/CVE-2019-1349""}}"
7,1791,89538,6460404,CVE-2019-1563,v6:1f733723d11e4180a2bb8dda0cc098c0,1,13,"{""Debian"":{""Url"":""https://security-tracker.debian.org/tracker/CVE-2019-1563""}}"
7,1791,89538,6460413,CVE-2019-1547,v6:db2fd2778a714488ab1ee2370f786363,1,13,"{""Debian"":{""Url"":""https://security-tracker.debian.org/tracker/CVE-2019-1547""}}"
7,1791,89538,6460405,CVE-2019-1549,v6:31359c930b0d449ba1244c1045bf50e4,1,13,"{""Debian"":{""Url"":""https://security-tracker.debian.org/tracker/CVE-2019-1549""}}"
7,1791,89538,6460412,CVE-2019-1543,v6:b0df812d92d04094b0385f33b5c9e97a,1,13,"{""Debian"":{""Url"":""https://security-tracker.debian.org/tracker/CVE-2019-1543""}}"
7,1791,89538,6460417,CVE-2019-5435,v6:4d56c9615d284be58414152c5cfc1479,1,13,"{""Debian"":{""Url"":""https://security-tracker.debian.org/tracker/CVE-2019-5435""}}"
7,1791,98486,6850859,CVE-2020-7735,v6:e5f22e12b03a4af09feb5993025cd2bd,1,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2020-7735""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2020-7735""}}"
7,1791,101452,7160331,CST-E has determined that this component is not generally safe to use.,v6:bda08797516d42e58a81a8f652152efd,1,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2FdSMS%2Freview-1.md""}}"
7,1791,102095,3121283,WS-2020-0093,v6:cddc9ec1d876438392128a61b2eacc55,2,2,"{""WhiteSource"":{""Url"":""https://github.com/aFarkas/lazysizes/commit/3720ab8262552d4e063a38d8492f9490a231fd48""}}"
7,1791,104027,6559635,CVE-2021-3822,v6:1cb32c1aea7344a19b866baba61180d1,1,9,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2021-3822""}}"
7,1791,104031,7267909,CVE-2022-24440,v6:4a2d5a265b2a480289d7c21217cb8a58,2,6,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2022-24440""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2022-24440""}}"
7,1791,104031,7267910,CVE-2022-21223,v6:645f1b6028124a4e8960ac4b68f78e6d,2,6,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2022-21223""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2022-21223""}}"
7,1791,104202,7257145,CST-E has determined that this component is not generally safe to use.,v6:cc8dbcc82745418bb2f4c49ce3e6776d,2,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fmicrosoft.identity.serverauthorization%2Freview-2.md""}}"
7,1791,107661,7165901,GHSA-vrv8-v4w8-f95h,v6:96012062b7524ae98991ea3e295cca4a,1,2,"{""GitHubAdvisories"":{""Url"":""https://github.com/tinymce/tinymce/security/advisories/GHSA-vrv8-v4w8-f95h""}}"
7,1791,107661,7165902,CVE-2019-1010091,v6:a81d668498ef46e09bd7ed76570312fb,1,2,"{""GitHubAdvisories"":{""Url"":""https://github.com/tinymce/tinymce/security/advisories/GHSA-c78w-2gw7-gjv3""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2019-1010091""}}"
7,1791,107661,7165895,WS-2020-0142,v6:433418be1d8e4cb284ff7d7d123a8dda,1,2,"{""WhiteSource"":{""Url"":""https://github.com/advisories/GHSA-vrv8-v4w8-f95h""}}"
7,1791,121104,7172581,CST-E has determined that this component is not generally safe to use.,v6:dea0254548c34a038668dcf09fb482d6,1,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fsnappy.net%2Freview-1.md""}}"
7,1791,128950,6867550,GHSA-9wx7-jrvc-28mm,v6:dcd91982c7ee47489d9ec108900724e1,2,1,"{""GitHubAdvisories"":{""Url"":""https://github.com/starkbank/ecdsa-python/releases/tag/v2.0.1""}}"
7,1791,137795,6256866,CVE-2020-5236,v6:21ac6fb23885442c970c825062e11b81,3,8,"{""GitHubAdvisories"":{""Url"":""https://github.com/Pylons/waitress/security/advisories/GHSA-73m2-3pwg-5fgc""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2020-5236""}}"
7,1791,137795,6161620,CVE-2019-16789,v6:e1e54bc4d8274b7c94cb4746189cb9d4,2,8,"{""GitHubAdvisories"":{""Url"":""https://github.com/Pylons/waitress/security/advisories/GHSA-968f-66r5-5v74""}}"
